Gene;Annotation
Lypla2;Glycolysis/lipolysis
Mfsd2a;Glycolysis/lipolysis
Mgll;Glycolysis/lipolysis
Mgst2;Glycolysis/lipolysis
Mif;Glycolysis/lipolysis
Mlxipl;Glycolysis/lipolysis
Mlycd;Glycolysis/lipolysis
Mt3;Glycolysis/lipolysis
Mtln;Glycolysis/lipolysis
Mtor;Glycolysis/lipolysis
Mup11;Glycolysis/lipolysis
Mup15;Glycolysis/lipolysis
Mup18;Glycolysis/lipolysis
Mup2;Glycolysis/lipolysis
Mup1;Glycolysis/lipolysis
Mup3;Glycolysis/lipolysis
Mup9;Glycolysis/lipolysis
Myc;Glycolysis/lipolysis
Naaa;Glycolysis/lipolysis
Naga;Glycolysis/lipolysis
Napepld;Glycolysis/lipolysis
Nceh1;Glycolysis/lipolysis
Neu1;Glycolysis/lipolysis
Neu2;Glycolysis/lipolysis
Neu3;Glycolysis/lipolysis
Neu4;Glycolysis/lipolysis
Nudt7;Glycolysis/lipolysis
Obp2a;Glycolysis/lipolysis
Oc90;Glycolysis/lipolysis
Orm1;Glycolysis/lipolysis
P2rx7;Glycolysis/lipolysis
Pafah1b1;Glycolysis/lipolysis
Pafah1b2;Glycolysis/lipolysis
Pafah1b3;Glycolysis/lipolysis
Pafah2;Glycolysis/lipolysis
Pcca;Glycolysis/lipolysis
Pck1;Glycolysis/lipolysis
Pck2;Glycolysis/lipolysis
Pde3b;Glycolysis/lipolysis
Pdgfrl;Glycolysis/lipolysis
Pdxdc1;Glycolysis/lipolysis
Pex13;Glycolysis/lipolysis
Pex2;Glycolysis/lipolysis
Pex5;Glycolysis/lipolysis
Pex7;Glycolysis/lipolysis
Pfkfb2;Glycolysis/lipolysis
Pfkl;Glycolysis/lipolysis
Pfkm;Glycolysis/lipolysis
Pfkp;Glycolysis/lipolysis
Phyh;Glycolysis/lipolysis
Pik3cg;Glycolysis/lipolysis
Pla1a;Glycolysis/lipolysis
Pla2g10;Glycolysis/lipolysis
Pla2g12a;Glycolysis/lipolysis
Pla2g12b;Glycolysis/lipolysis
Pla2g15;Glycolysis/lipolysis
Pla2g1b;Glycolysis/lipolysis
Pla2g2c;Glycolysis/lipolysis
Pla2g2d;Glycolysis/lipolysis
Pla2g2e;Glycolysis/lipolysis
Pla2g2f;Glycolysis/lipolysis
Pla2g4a;Glycolysis/lipolysis
Pla2g4b;Glycolysis/lipolysis
Pla2g4c;Glycolysis/lipolysis
Pla2g4d;Glycolysis/lipolysis
Pla2g4e;Glycolysis/lipolysis
Pla2g4f;Glycolysis/lipolysis
Pla2g5;Glycolysis/lipolysis
Pla2g6;Glycolysis/lipolysis
Pla2g7;Glycolysis/lipolysis
Plaat1;Glycolysis/lipolysis
Plaat3;Glycolysis/lipolysis
Plb1;Glycolysis/lipolysis
Plbd1;Glycolysis/lipolysis
Plbd2;Glycolysis/lipolysis
Plcb1;Glycolysis/lipolysis
Plcb2;Glycolysis/lipolysis
Plcb3;Glycolysis/lipolysis
Plcd1;Glycolysis/lipolysis
Plcd3;Glycolysis/lipolysis
Plcd4;Glycolysis/lipolysis
Plce1;Glycolysis/lipolysis
Plcg1;Glycolysis/lipolysis
Plcg2;Glycolysis/lipolysis
Plch1;Glycolysis/lipolysis
Plch2;Glycolysis/lipolysis
Plcxd2;Glycolysis/lipolysis
Plcxd3;Glycolysis/lipolysis
Plcz1;Glycolysis/lipolysis
Pld1;Glycolysis/lipolysis
Pld2;Glycolysis/lipolysis
Pld6;Glycolysis/lipolysis
Plin1;Glycolysis/lipolysis
Plin5;Glycolysis/lipolysis
Pnlip;Glycolysis/lipolysis
Pnliprp2;Glycolysis/lipolysis
Pnpla1;Glycolysis/lipolysis
Pnpla2;Glycolysis/lipolysis
Pnpla3;Glycolysis/lipolysis
Pnpla5;Glycolysis/lipolysis
Pnpla6;Glycolysis/lipolysis
Pnpla7;Glycolysis/lipolysis
Pnpla8;Glycolysis/lipolysis
Ppt1;Glycolysis/lipolysis
Prdx6;Glycolysis/lipolysis
Prkaa1;Glycolysis/lipolysis
Prkaa2;Glycolysis/lipolysis
Prkcd;Glycolysis/lipolysis
Prkce;Glycolysis/lipolysis
Prxl2c;Glycolysis/lipolysis
Psap;Glycolysis/lipolysis
Ptprv;Glycolysis/lipolysis
Rab7;Glycolysis/lipolysis
Rarres2;Glycolysis/lipolysis
Saa1;Glycolysis/lipolysis
Saa2;Glycolysis/lipolysis
Scarb1;Glycolysis/lipolysis
Scp2;Glycolysis/lipolysis
Sct;Glycolysis/lipolysis
Sctr;Glycolysis/lipolysis
Serpina1e;Glycolysis/lipolysis
Serpina6;Glycolysis/lipolysis
Sesn2;Glycolysis/lipolysis
Sgpl1;Glycolysis/lipolysis
Sirt2;Glycolysis/lipolysis
Slc25a17;Glycolysis/lipolysis
Slc27a2;Glycolysis/lipolysis
Slc27a4;Glycolysis/lipolysis
Slc4a4;Glycolysis/lipolysis
Slc4a8;Glycolysis/lipolysis
Smpd1;Glycolysis/lipolysis
Smpd2;Glycolysis/lipolysis
Smpd3;Glycolysis/lipolysis
Smpd4;Glycolysis/lipolysis
Smpd5;Glycolysis/lipolysis
Smpdl3a;Glycolysis/lipolysis
Smpdl3b;Glycolysis/lipolysis
Sorl1;Glycolysis/lipolysis
Spp1;Glycolysis/lipolysis
Srd5a1;Glycolysis/lipolysis
Srd5a2;Glycolysis/lipolysis
Srd5a3;Glycolysis/lipolysis
Sult1e1;Glycolysis/lipolysis
Tbl1xr1;Glycolysis/lipolysis
Thra;Glycolysis/lipolysis
Tkfc;Glycolysis/lipolysis
Tnf;Glycolysis/lipolysis
Twist1;Glycolysis/lipolysis
Tysnd1;Glycolysis/lipolysis
Ugt1a7c;Glycolysis/lipolysis
Ywhah;Glycolysis/lipolysis
Zbtb20;Glycolysis/lipolysis
Zpbp2;Glycolysis/lipolysis
Mst1;Glycolysis/lipolysis
Soga1;Glycolysis/lipolysis
Arpp19;Gluconeogenesis
Ddb1;Gluconeogenesis
Dgat2;Gluconeogenesis
Foxo1;Gluconeogenesis
Foxo3;Gluconeogenesis
Gcg;Gluconeogenesis
Gpt;Gluconeogenesis
Gpt2;Gluconeogenesis
Hif1a;Gluconeogenesis
Hnf4a;Gluconeogenesis
Kat2a;Gluconeogenesis
Kat2b;Gluconeogenesis
Ppara;Gluconeogenesis
Ppp4r3a;Gluconeogenesis
Ppp4r3b;Gluconeogenesis
Ptpn2;Gluconeogenesis
Sirt1;Gluconeogenesis
Stk11;Gluconeogenesis
Supt20;Gluconeogenesis
Tcf7l2;Gluconeogenesis
Wdr5;Gluconeogenesis
Pck1;Gluconeogenesis
G6pc;Gluconeogenesis
G6pc3;Gluconeogenesis
Glul;Gluconeogenesis
Pepck;Gluconeogenesis
Eno1;Gluconeogenesis
Eno3;Gluconeogenesis
Pgam1;Gluconeogenesis
Pgk1;Gluconeogenesis
Tpi1;Gluconeogenesis
Aldoa;Gluconeogenesis
Fbp1;Gluconeogenesis
Gpi;Gluconeogenesis
Slc1a2;Gluconeogenesis
Abcg5;Gluconeogenesis
Nr4a1;Gluconeogenesis
Mdh1;Gluconeogenesis
Mdh2;Gluconeogenesis
Got1;Gluconeogenesis
Got2;Gluconeogenesis
Slc25a10;Gluconeogenesis
Slc25a11;Gluconeogenesis
