,Gene symbol,Task
151,Dlat,Target Ctcf
152,Wdr26,Target Ctcf
153,Acaa2,Target Ctcf
154,Rab3a,Target Ctcf
155,Gne,Target Ctcf
156,Fgfr2,Target Ctcf
157,Sec31a,Target Ctcf
158,Pcyox1,Target Ctcf
159,Rbm14,Target Ctcf
160,Apeh,Target Ctcf
161,Morf4l1,Target Ctcf
162,Ap1m2,Target Ctcf
163,Ppm1g,Target Ctcf
164,Nop10,Target Ctcf
165,Mrpl24,Target Ctcf
166,Nasp,Target Ctcf
167,Thra,Target Ctcf
168,Apbb2,Target Ctcf
169,H2-Ab1,Target Ctcf
170,Necap2,Target Ctcf
171,Plekhb1,Target Ctcf
172,Pla2g6,Target Ctcf
173,Gpr107,Target Ctcf
174,Mpp2,Target Ctcf
175,Commd1,Target Ctcf
176,Mink1,Target Ctcf
177,Echdc2,Target Ctcf
178,Fgf18,Target Ctcf
179,Thbd,Target Ctcf
180,Zfp251,Target Ctcf
181,Zfp410,Target Ctcf
182,Zfp219,Target Ctcf
183,Rnf130,Target Ctcf
184,Pitx2,Target Ctcf
185,D2hgdh,Target Ctcf
186,Zdhhc1,Target Ctcf
187,Socs1,Target Ctcf
188,Fam214b,Target Ctcf
189,Atp11c,Target Ctcf
190,Aldh1a7,Target Ctcf
191,Kif19a,Target Ctcf
192,Phb,Target Ctcf
193,Erap1,Target Ctcf
194,Tbc1d7,Target Ctcf
195,Atp6v1b1,Target Ctcf
196,Gata3,Target Ctcf
197,Pom121,Target Ctcf
198,Magohb,Target Ctcf
199,Kifc3,Target Ctcf
200,Cdc14a,Target Ctcf
201,Pdk2,Target Ctcf
202,Cftr,Target Ctcf
