,Gene symbol,Task
403,Heg1,Ageing up regulated
404,Herc6,Ageing up regulated
405,Hk2,Ageing up regulated
406,Hmox1,Ageing up regulated
407,Hp,Ageing up regulated
408,Hpx,Ageing up regulated
409,Icam1,Ageing up regulated
410,Idh2,Ageing up regulated
411,Ifi204,Ageing up regulated
412,Ifi27l2b,Ageing up regulated
413,Ifi30,Ageing up regulated
414,Ifi44,Ageing up regulated
415,Ifi47,Ageing up regulated
416,Ifih1,Ageing up regulated
417,Ifit3,Ageing up regulated
418,Ifitm3,Ageing up regulated
419,Igfbp3,Ageing up regulated
420,Igsf6,Ageing up regulated
421,Igtp,Ageing up regulated
422,Iigp1,Ageing up regulated
423,Ikbke,Ageing up regulated
424,Il10,Ageing up regulated
425,Il10ra,Ageing up regulated
426,Il13ra1,Ageing up regulated
427,Il1b,Ageing up regulated
428,Il1rn,Ageing up regulated
429,Iqgap1,Ageing up regulated
430,Irf1,Ageing up regulated
431,Irf7,Ageing up regulated
432,Irf9,Ageing up regulated
433,Irgm1,Ageing up regulated
434,Irgm2,Ageing up regulated
435,Itga4,Ageing up regulated
436,Itgal,Ageing up regulated
437,Itgam,Ageing up regulated
438,Itgax,Ageing up regulated
439,Itgb2,Ageing up regulated
440,Itih3,Ageing up regulated
441,Itih4,Ageing up regulated
442,Jak3,Ageing up regulated
443,Kctd12,Ageing up regulated
444,Kif21b,Ageing up regulated
445,Kng1,Ageing up regulated
446,Krt18,Ageing up regulated
447,Lair1,Ageing up regulated
448,Laptm5,Ageing up regulated
449,Lbh,Ageing up regulated
450,Lbp,Ageing up regulated
451,Lcn2,Ageing up regulated
452,Lcp2,Ageing up regulated
453,Lgals3bp,Ageing up regulated
454,Lgmn,Ageing up regulated
455,Lmnb1,Ageing up regulated
456,Lrg1,Ageing up regulated
457,Lrrc25,Ageing up regulated
458,Lrtm1,Ageing up regulated
459,Lsp1,Ageing up regulated
460,Ly6e,Ageing up regulated
461,Ly9,Ageing up regulated
462,Lyz2,Ageing up regulated
463,Map3k1,Ageing up regulated
464,Marcks,Ageing up regulated
465,Mki67,Ageing up regulated
466,Mmd2,Ageing up regulated
467,Mmp14,Ageing up regulated
468,Mndal,Ageing up regulated
469,Mpeg1,Ageing up regulated
470,Msn,Ageing up regulated
471,Mx1,Ageing up regulated
472,Mx2,Ageing up regulated
473,Myo1f,Ageing up regulated
474,Myo1g,Ageing up regulated
475,Myo5a,Ageing up regulated
476,Myof,Ageing up regulated
477,Ncf1,Ageing up regulated
478,Nebl,Ageing up regulated
479,Nfkb2,Ageing up regulated
480,Nlrc5,Ageing up regulated
481,Nnmt,Ageing up regulated
482,Ntrk2,Ageing up regulated
483,Oas1a,Ageing up regulated
484,Oas1g,Ageing up regulated
485,Oasl1,Ageing up regulated
486,Oasl2,Ageing up regulated
487,Orm2,Ageing up regulated
488,Parp12,Ageing up regulated
489,Parp14,Ageing up regulated
490,Parp9,Ageing up regulated
491,Pdgfrb,Ageing up regulated
492,Pik3cd,Ageing up regulated
493,Pik3r5,Ageing up regulated
494,Pla2g4a,Ageing up regulated
495,Plac8,Ageing up regulated
